Player Name,Format,Image,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2014,13,395,249,11,35.9,158.6,89,3,0,26,24,29.7
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2015,14,513,293,11,46.6,175.1,133,2,1,60,22,31.4
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2016,21,921,562,17,54.2,163.9,129,8,1,80,45,26.3
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2017,9,216,163,8,27,132.5,89,1,0,12,16,41.7
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2018,21,762,449,18,42.3,169.7,93,8,0,64,44,28.1
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2019,43,"1,578","1,006",30,52.6,156.9,100,14,1,115,79,27.6
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2020,20,600,390,16,37.5,153.8,73,6,0,41,29,26.2
AB De Villiers,Leagues,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2021,14,313,211,10,31.3,148.3,76,2,0,23,16,32.2
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2011,9,202,473,9,22.4,42.7,63,2,0,15,2,72.1
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2012,16,689,"1,474",14,49.2,46.7,116,3,3,89,2,77.9
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2013,12,616,"1,127",11,56,54.7,119,3,2,73,2,70.9
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2014,20,847,"1,399",19,44.6,60.5,169,2,4,101,2,69.4
Virat Kohli,Test,https://static.toiimg.com/photo/99849830/99849830.jpg,2015,15,640,"1,184",15,42.7,54.1,147,2,2,74,1,72
